"Global","Level","Address","Size","Field Type","Field Name","Elt Type","Comment"
"ui","2","0xa82ad0","0x4","int32_t","ui.becoming_capital.desired_offerings","",""
"ui","1","0xa82ad4","0x160","padding","ui","",""
"ui","1","0xa82c34","0x10","stl-vector","ui.currency_value","int32_t",""
"ui","1","0xa82c44","0x32c","padding","ui","",""
"ui","1","0xa82f70","0x10","stl-vector","ui.unk530","int32_t",""
"ui","1","0xa82f80","0x30","compound","ui.wealth","",""
"ui","2","0xa82f80","0x4","int32_t","ui.wealth.total","",""
"ui","2","0xa82f84","0x4","int32_t","ui.wealth.weapons","",""
"ui","2","0xa82f88","0x4","int32_t","ui.wealth.armor","",""
"ui","2","0xa82f8c","0x4","int32_t","ui.wealth.furniture","",""
"ui","2","0xa82f90","0x4","int32_t","ui.wealth.other","",""
"ui","2","0xa82f94","0x4","int32_t","ui.wealth.architecture","",""
"ui","2","0xa82f98","0x4","int32_t","ui.wealth.displayed","",""
"ui","2","0xa82f9c","0x4","int32_t","ui.wealth.held","",""
"ui","2","0xa82fa0","0x4","int32_t","ui.wealth.imported","",""
"ui","2","0xa82fa4","0x4","int32_t","ui.wealth","",""
"ui","2","0xa82fa8","0x4","int32_t","ui.wealth.exported","",""
"ui","2","0xa82fac","0x4","int32_t","ui.wealth","",""
"ui","1","0xa82fb0","0x1cd4","padding","ui","",""
"ui","1","0xa84c84","0x10","stl-vector","ui.unk2298","bool",""
"ui","1","0xa84c94","0x10","stl-vector","ui.unk22a4","bool",""
"ui","1","0xa84ca4","0x10","stl-vector","ui.unk22b0","bool",""
"ui","1","0xa84cb4","0x10","stl-vector","ui.unk22bc","bool",""
"ui","1","0xa84cc4","0x10","padding","ui","",""
"ui","1","0xa84cd4","0x10","stl-vector","ui.unk22d8","int32_t",""
"ui","1","0xa84ce4","0x4","padding","ui","",""
"ui","1","0xa84ce8","0x10","stl-vector","ui.unk22e8","padding",""
"ui","1","0xa84cf8","0x10","stl-vector","ui.dip_meeting_vec","meeting_diplomat*",""
"ui","1","0xa84d08","0x10","stl-vector","ui.dip_meeting_info","ui::anon2*",""
"ui","1","0xa84d18","0x10","stl-vector","ui.unk230c","int32_t","really a wild guess"
"ui","1","0xa84d28","0x4","padding","ui","",""
"ui","1","0xa84d2c","0x14","compound","ui.invasions","",""
